# EDIT THIS FILE. It is the single source of truth for entity names.
#
# One row per entity type: <type>,<Name>,<note>
#
# Name is a Pascal/Ghidra identifier - letters and digits, no spaces. It
# becomes:
#     Ghidra   EntityUpdate_Type<NN>_<Name>   and p_Spr<NN><Name>
#     Pascal   EntityUpdate_Type<NN>_<Name>   and the <NAME>_* constants
#
# Leave Name blank for anything not yet identified. Run
#     python tools/apply_entity_names.py
# to apply every filled-in row to both projects at once.
#
# The note column is free text and is copied into the doc comment.
#
type,name,note
14,ManaStone,the collectible the HUD counter counts
15,Switch,set by pressing up key - often used to unlock doors
16,InfoSign,contains text that is read by interacting with it 
20,,looks empty
21,WingedHorseBlock,movement block that carries you up/down or left/right
22,,
23,,
24,,
25,,
27,,
29,,
30,,
31,,
37,,
38,,
40,,
41,,
42,,
43,,
45,,
46,,
47,,
49,,
50,,
51,,
52,,
54,,
56,,
58,,
59,,
60,,
61,,
62,,
63,,
64,,
65,,
66,,
67,,
69,,
70,,
71,,
73,,
76,,
77,,
80,,
